"Decretos";"Localidade";"Ementa";"Url";"Estado";"Tipo";"Tipo_Documento";"Cod_UF";"Nome_Mesorregião";"Codigo_Municipio"
"Decreto Nº 32444 de 28 de maio de 2020";"Salvador";"Define regras gerais para realização de atividade econômica na forma que indica e dá outras providências.";"http://leismunicipa.is/ydaol";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32441 de 27 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/gokjy";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32440 de 26 de maio de 2020";"Salvador";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica e dá outras providências.";"http://leismunicipa.is/fiybp";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Lei Ordinária Nº 9529 de 26 de maio de 2020";"Salvador";"Autoriza o Poder Executivo Municipal a destinar recursos para pagamento de auxílio financeiro em favor de indivíduos residentes no Município de Salvador infectados com o novo coronavírus, que aceitem ser hospedados nos Centros de Acompanhamento Clínico do Estado da Bahia, na forma que indica.";"http://leismunicipa.is/daoyl";"Bahia";"Municipal";"Lei";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32432 de 23 de maio de 2020";"Salvador";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica e dá outras providências.";"http://leismunicipa.is/fipyb";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32431 de 23 de maio de 2020";"Salvador";"Dispõe sobre a antecipação de feriado municipal, observado o disposto na Lei 9.528, de 23 de maio de 2020, na forma que indica e dá outras providências.";"http://leismunicipa.is/hfiyo";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Lei Ordinária Nº 9528 de 23 de maio de 2020";"Salvador";"Autoriza o Poder Executivo a antecipar feriados municipais na forma que indica.";"http://leismunicipa.is/ofbya";"Bahia";"Municipal";"Lei";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32433 de 22 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/dgyeo";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32428 de 20 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/lknay";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32427 de 20 de maio de 2020";"Salvador";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica e dá outras providências.";"http://leismunicipa.is/fbypi";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Lei Ordinária Nº 9526 de 19 de maio de 2020";"Salvador";"Altera a Lei nº 9.296, de 1º de dezembro de";"http://leismunicipa.is/lygnb";"Bahia";"Municipal";"Lei";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32426 de 19 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/lgnyb";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
