"Decretos";"Localidade";"Ementa";"Url";"Estado";"Tipo";"Tipo_Documento";"Cod_UF";"Nome_Mesorregião";"Codigo_Municipio"
"Decreto Nº 32426 de 19 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/lgnyb";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 19 de 19 de maio de 2020";"Teodoro Sampaio";"Altera o Decreto Municipal nº 014, de 22 de abril de 2020, que declara situação de emergência e consolida medidas para enfrentamento da pandemia de importância internacional decorrente do novo coronavírus (COVID-19).";"http://leismunicipa.is/ynahk";"Bahia";"Municipal";"Decreto";29;"Centro Norte Baiano";2931400
"Decreto Nº 32415 de 18 de maio de 2020";"Salvador";"Define regras gerais para realização de atividade econômica, prorroga medidas de prevenção e controle para enfrentamento do COVID-19 no âmbito do município de Salvador e dá outras providências.";"http://leismunicipa.is/yngld";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32421 de 18 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/ngylc";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32416 de 18 de maio de 2020";"Salvador";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica e dá outras providências.";"http://leismunicipa.is/jpmly";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32413 de 15 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/gnlby";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Lei Ordinária Nº 14264 de 15 de maio de 2020";"Bahia";"Autoriza o Poder Executivo a destinar recursos para pagamento de auxílio financeiro em favor de indivíduos infectados com o novo coronavírus, que aceitem ser hospedados nos Centros de Acolhimento e Acompanhamento Clínico do Estado da Bahia, na forma que indica.";"http://leisestaduais.com.br/ba/lei-ordinaria-n-14264-2020-bahia-autoriza-o-poder-executivo-a-destinar-recursos-para-pagamento-de-auxilio-financeiro-em-favor-de-individuos-infectados-com-o-novo-coronavirus-que-aceitem-ser-hospedados-nos-centros-de-acolhimento-e-acompanhamento-clinico-do-estado-da-bahia-na-forma-que-indica";"Bahia";"Estadual";"Lei";NA;NA;NA
"Lei Ordinária Nº 14263 de 15 de maio de 2020";"Bahia";"Dispõe sobre a suspensão, face à calamidade pública em saúde decorrente da pandemia da COVID-19, da contagem de prazos relativos a sanções administrativas, a processos administrativos disciplinares e sancionatórios que indica, e dá outras providências.";"http://leisestaduais.com.br/ba/lei-ordinaria-n-14263-2020-bahia-dispoe-sobre-a-suspensao-face-a-calamidade-publica-em-saude-decorrente-da-pandemia-da-covid-19-da-contagem-de-prazos-relativos-a-sancoes-administrativas-a-processos-administrativos-disciplinares-e-sancionatorios-que-indica-e-da-outras-providencias";"Bahia";"Estadual";"Lei";NA;NA;NA
"Decreto Nº 32414 de 15 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/lyngb";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 18 de 15 de maio de 2020";"Teodoro Sampaio";"Dispõe sobre as medidas de gestão de controle de despesas de custeio e de pessoal para enfrentamento dos efeitos econômicos decorrentes da emergência de saúde pública de importância internacional, em razão da pandemia causada pelo novo coronavírus (COVID-19), e dá outras providências.";"http://leismunicipa.is/yanhk";"Bahia";"Municipal";"Decreto";29;"Centro Norte Baiano";2931400
"Decreto Nº 32409 de 14 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/jyian";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32407 de 14 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/jiany";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 7348 de 13 de maio de 2020";"Camaçari";"Dispõe sobre a prorrogação de medidas temporárias de prevenção e controle para enfrentamento do COVID-19, no âmbito do Município de Camaçari/BA, e dá outras providências.";"http://leismunicipa.is/ydfnh";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2905701
"Decreto Nº 32399 de 12 de maio de 2020";"Salvador";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica.";"http://leismunicipa.is/akycn";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 7347 de 12 de maio de 2020";"Camaçari";"Dispõe sobre a instituição da Comissão de Acompanhamento das Medidas de Enfrentamento à COVID-19, objetivando conferir maior celeridade e segurança aos processos, com fortalecimento dos procedimentos de transparência e controle.";"http://leismunicipa.is/nychd";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2905701
"Decreto Nº 32398 de 11 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/iynja";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32390 de 9 de maio de 2020";"Salvador";"Prorroga a data de início das medidas previstas no Decreto nº 32.389, de 08 de maio de 2020 na forma que indica e dá outras providências.";"http://leismunicipa.is/egynb";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32394 de 8 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/lfkmy";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32389 de 8 de maio de 2020";"Salvador";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica.";"http://leismunicipa.is/mflyk";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32395 de 8 de maio de 2020";"Salvador";"Fca aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/lfykm";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 17 de 7 de maio de 2020";"Teodoro Sampaio";"Altera o calendário fiscal do exercício financeiro de 2020 e dá outras providências.";"http://leismunicipa.is/akhny";"Bahia";"Municipal";"Decreto";29;"Centro Norte Baiano";2931400
"Decreto Nº 7345 de 6 de maio de 2020";"Camaçari";"Altera o Decreto Municipal nº 7.120, de 24 de julho de 2019, para, com apoio na autorização legal contida na Lei Municipal nº 1.626, de 05 de maio de 2020, suspender a aplicação das parcelas de reajuste definida na Lei nº 1.579/2019, em razão das limitações financeiras decorrentes da Pandemia COVID-19.";"http://leismunicipa.is/dybjm";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2905701
"Decreto Nº 32382 de 5 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/ghymi";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Decreto Nº 32383 de 5 de maio de 2020";"Salvador";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/yghim";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
"Lei Ordinária Nº 1625 de 5 de maio de 2020";"Camaçari";"Dispõe sobre medidas emergenciais envolvendo servidores públicos comissionados e agentes políticos, no âmbito da Câmara do Município de Camaçari, objetivando o remanejamento de recursos públicos para enfrentamento da pandemia do COVID-19 e dá outras providências.";"http://leismunicipa.is/iamfy";"Bahia";"Municipal";"Lei";29;"Metropolitana de Salvador";2905701
"Decreto Nº 32384 de 5 de maio de 2020";"Salvador";"Dispõe sobre novas medidas de prevenção e controle para enfrentamento do COVID-19 no âmbito do município de Salvador e dá outras providências.";"http://leismunicipa.is/mgyhi";"Bahia";"Municipal";"Decreto";29;"Metropolitana de Salvador";2927408
