CD_GEOCMU;CD_GEOCMU6DIG;NM_MUNICIP;NM_MUNICIP2;NRS;NM_RS;LONG;LAT;POP_MUN
2915205;291520;ITAGIBÁ;Itagibá;Sul;Jequié;-39,830454;-14,252567;14579
2915304;291530;ITAGIMIRIM;Itagimirim;Extremo sul;Porto Seguro;-39,737985;-16,096336;6869
2915353;291535;ITAGUAÇU DA BAHIA;Itaguaçu da Bahia;Centro-norte;Irecê;-42,238987;-10,769724;14429
2915403;291540;ITAJU DO COLÔNIA;Itaju do Colônia;Sul;Itabuna;-39,731652;-15,148336;6682
2915502;291550;ITAJUÍPE;Itajuípe;Sul;Itabuna;-39,4449;-14,671518;20491
2915601;291560;ITAMARAJU;Itamaraju;Extremo sul;Teixeira de Freitas;-39,764796;-17,008757;64486
2915700;291570;ITAMARI;Itamari;Sul;Jequié;-39,667054;-13,766584;8035
2915809;291580;ITAMBÉ;Itambé;Sudoeste;Itapetinga;-40,462594;-15,158114;23049
2915908;291590;ITANAGRA;Itanagra;Nordeste;Alagoinhas;-38,042503;-12,31533;6441
2916005;291600;ITANHÉM;Itanhém;Extremo sul;Teixeira de Freitas;-40,378352;-17,115408;19405
2916104;291610;ITAPARICA;Itaparica;Leste;Salvador;-38,656873;-12,892612;22228
2916203;291620;ITAPÉ;Itapé;Sul;Itabuna;-39,495903;-14,954378;8761
2916302;291630;ITAPEBI;Itapebi;Extremo sul;Porto Seguro;-39,653153;-15,91211;10259
2916401;291640;ITAPETINGA;Itapetinga;Sudoeste;Itapetinga;-40,057515;-15,29928;76147
2916500;291650;ITAPICURU;Itapicuru;Nordeste;Alagoinhas;-38,194311;-11,192021;35576
2916609;291660;ITAPITANGA;Itapitanga;Sul;Itabuna;-39,619958;-14,472907;10313
2916708;291670;ITAQUARA;Itaquara;Sul;Jequié;-39,898458;-13,448891;8319
2916807;291680;ITARANTIM;Itarantim;Sudoeste;Itapetinga;-40,049147;-15,697738;19747
2916856;291685;ITATIM;Itatim;Leste;Santo Antônio de Jesus;-39,734692;-12,71284;14487
2916906;291690;ITIRUÇU;Itiruçu;Sul;Jequié;-40,153071;-13,487525;12576
2917003;291700;ITIÚBA;Itiúba;Norte;Senhor do Bonfim;-39,845358;-10,731374;36089
2917102;291710;ITORORÓ;Itororó;Sudoeste;Itapetinga;-40,007204;-15,048842;20382
2917201;291720;ITUAÇU;Ituaçu;Sudoeste;Brumado;-41,390007;-13,837101;18962
2917300;291730;ITUBERÁ;Ituberá;Sul;Valença;-39,15295;-13,749335;28602
2917334;291733;IUIÚ;Iuiú;Sudoeste;Guanambi;-43,543207;-14,466472;10994
2917359;291735;JABORANDI;Jaborandi;Oeste;Santa Maria da Vitória;-45,442709;-14,033288;8385
2917409;291740;JACARACI;Jacaraci;Sudoeste;Guanambi;-42,322286;-14,784849;14842
2917508;291750;JACOBINA;Jacobina;Centro-norte;Jacobina;-40,568546;-11,13492;80518
2917607;291760;JAGUAQUARA;Jaguaquara;Sul;Jequié;-39,957039;-13,55388;54423
2917706;291770;JAGUARARI;Jaguarari;Norte;Senhor do Bonfim;-40,068348;-10,042621;33570
2917805;291780;JAGUARIPE;Jaguaripe;Leste;Santo Antônio de Jesus;-38,986515;-13,121259;18788
2917904;291790;JANDAÍRA;Jandaíra;Nordeste;Alagoinhas;-37,594356;-11,597778;10709
2918001;291800;JEQUIÉ;Jequié;Sul;Jequié;-40,146131;-13,877607;155966
2918100;291810;JEREMOABO;Jeremoabo;Norte;Paulo Afonso;-38,552526;-9,940661;40463
2918209;291820;JIQUIRIÇÁ;Jiquiriçá;Leste;Santo Antônio de Jesus;-39,584656;-13,324538;14537
2918308;291830;JITAÚNA;Jitaúna;Sul;Jequié;-39,86666;-13,957972;11166
2918357;291835;JOÃO DOURADO;João Dourado;Centro-norte;Irecê;-41,567214;-11,220169;25188
2918407;291840;JUAZEIRO;Juazeiro;Norte;Juazeiro;-40,27466;-9,55688;216707
2918456;291845;JUCURUÇU;Jucuruçu;Extremo sul;Teixeira de Freitas;-40,100747;-16,845586;9126
2918506;291850;JUSSARA;Jussara;Centro-norte;Irecê;-41,880302;-10,925533;15284
2918555;291855;JUSSARI;Jussari;Sul;Itabuna;-39,498022;-15,136642;5833
2918605;291860;JUSSIAPE;Jussiape;Sudoeste;Brumado;-41,598876;-13,511311;6186
2918704;291870;LAFAIETE COUTINHO;Lafaiete Coutinho;Sul;Jequié;-40,292581;-13,641588;3724
2918753;291875;LAGOA REAL;Lagoa Real;Sudoeste;Guanambi;-42,219603;-14,047295;15665
2918803;291880;LAJE;Laje;Leste;Santo Antônio de Jesus;-39,346418;-13,166984;23840
2918902;291890;LAJEDÃO;Lajedão;Extremo sul;Teixeira de Freitas;-40,309827;-17,559587;3955
2919009;291900;LAJEDINHO;Lajedinho;Centro-leste;Itaberaba;-40,963446;-12,380974;3783
2919058;291905;LAJEDO DO TABOCAL;Lajedo do Tabocal;Sul;Jequié;-40,282259;-13,460225;8562
2919108;291910;LAMARÃO;Lamarão;Centro-leste;Serrinha;-38,909962;-11,785909;8307
2919157;291915;LAPÃO;Lapão;Centro-norte;Irecê;-41,77669;-11,501287;27223
2919207;291920;LAURO DE FREITAS;Lauro de Freitas;Leste;Salvador;-38,327273;-12,863213;198440
2919306;291930;LENÇÓIS;Lençóis;Centro-leste;Seabra;-41,337293;-12,424989;11409
2919405;291940;LICÍNIO DE ALMEIDA;Licínio de Almeida;Sudoeste;Guanambi;-42,470101;-14,586021;12388
2919504;291950;LIVRAMENTO DE NOSSA SENHORA;Livramento de Nossa Senhora;Sudoeste;Brumado;-41,990849;-13,810688;45732
